doi,title,is_oa,oa_status,pdf_url,query_label,search_letter,reason
10.1093/jopart/muaf009,How ensembling AI and public managers improves decision-making,TRUE,bronze,https://academic.oup.com/jpart/article-pdf/35/3/261/62953181/muaf009.pdf,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1111/aphw.70033,The rise of artificial intelligence for cognitive behavioral therapy: A bibliometric overview,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/aphw.70033,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1111/ropr.12637,Research on digital discretion—The subjectification of street‐level work in public administration,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/ropr.12637,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1145/3491102.3502010,Do You See What You Mean? Using Predictive Visualizations to Reduce Optimism in Duration Estimates,TRUE,bronze,https://dl.acm.org/doi/pdf/10.1145/3491102.3502010,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1162/99608f92.35d32cfc,From Data Creator to Data Reuser: Distance Matters,TRUE,hybrid,https://hdsr.mitpress.mit.edu/pub/2mvqwgmf/download/pdf,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.20944/preprints202501.0425.v1,AI-Generated Abstract Expressionism Inspiring Creativity Through Ismail A Mageed's Internal Monologues in Poetic Form,TRUE,green,https://www.preprints.org/frontend/manuscript/790a886df405a2ffb1e8c7a532131dc2/download_pub,Block 1B: AI in research methodology,B,Previously failed — not retried
10.3390/books978-3-03897-893-0-1,"Transitioning to Quality Education: Examining Education for Sustainable Development Goals, Its Limitations, and Alternatives",TRUE,gold,https://doi.org/10.3390/books978-3-03897-893-0-1,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.3390/books978-3-03897-893-0-3,Systems Thinking Research in Science and Sustainability Education: A Theoretical Note,TRUE,gold,https://doi.org/10.3390/books978-3-03897-893-0-3,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.3390/fuels6020042,A Comparative Study of Major Risk Assessment (RA) Frameworks in Geologic Carbon Storage (GCS),TRUE,gold,https://www.mdpi.com/2673-3994/6/2/42/pdf?version=1749033054,Block 2G: Structured prompts and epistemic quality,G,Previously failed — not retried
10.3390/jtaer19010032,Fog Computing-Based Smart Consumer Recommender Systems,TRUE,gold,https://www.mdpi.com/0718-1876/19/1/32/pdf?version=1710164186,Block 1A: AI in research practice (broad fields),A,Previously failed — not retried
10.1002/pchj.792,The association between social support and prosocial behavior: A three‐level meta‐analysis,TRUE,hybrid,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pchj.792,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1016/j.futures.2023.103235,Images of the “future of work”. A discourse analysis of visual data on the internet,TRUE,hybrid,https://www.sciencedirect.com/science/article/pii/S0016328723001398,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1073/pnas.2415655121,Generative AI for computational chemistry: A roadmap to predicting emergent phenomena,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2415655121,Venue: PNAS,Venue,Previously failed — not retried
10.1080/1359432x.2023.2260540,"“Adding an egg” in algorithmic decision making: improving stakeholder and user perceptions, and predictive validity by enhancing autonomy",TRUE,hybrid,https://www.tandfonline.com/doi/pdf/10.1080/1359432X.2023.2260540?needAccess=true,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1108/ijrdm-04-2024-0169,Unveiling retail omnichannel challenges: developing an omnichannel obstacles scale,TRUE,hybrid,https://www.emerald.com/insight/content/doi/10.1108/IJRDM-04-2024-0169/full/pdf?title=unveiling-retail-omnichannel-challenges-developing-an-omnichannel-obstacles-scale,Block 1B: AI in research methodology,B,Previously failed — not retried
10.1145/3712289,DiversityOne: A Multi-Country Smartphone Sensor Dataset for Everyday Life Behavior Modeling,TRUE,hybrid,https://dl.acm.org/doi/pdf/10.1145/3712289,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
10.1162/opmi_a_00076,"Not Playing by the Rules: Exploratory Play, Rational Action, and Efficient Search",TRUE,gold,https://direct.mit.edu/opmi/article-pdf/doi/10.1162/opmi_a_00076/2138658/opmi_a_00076.pdf,Block 2D: Pre-registration and explicit reasoning,D,Previously failed — not retried
